# Weather station Madrid / Cuatro Vientos (airport), Spain, WMO_ID=8223,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=8223&lang=en
#
"Local time in Madrid / Cuatro Vientos (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.06.2020 13:00";"23.2";"696.5";"753.2";"";"35";"Wind blowing from the south-west";"7";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"6.9";"No precipitation";"6";"";"";"";"";
"11.06.2020 07:00";"15.6";"698.5";"757.0";"";"62";"Wind blowing from the south-west";"3";"";"";"40%.";"State of sky on the whole unchanged. ";"";"";"13.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"8.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"11.0";"";"";
"10.06.2020 19:00";"24.6";"700.4";"757.2";"";"25";"Wind blowing from the west-southwest";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"26.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"3.3";"No precipitation";"12";"";"";"";"";
"10.06.2020 13:00";"23.7";"703.0";"760.3";"";"27";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"3.6";"No precipitation";"6";"";"";"";"";
"10.06.2020 07:00";"11.7";"704.7";"764.5";"";"62";"Wind blowing from the north-northeast";"2";"";"";"20–30%.";"State of sky on the whole unchanged. ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"4.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"10.0";"";"";
"09.06.2020 19:00";"22.2";"703.0";"760.6";"";"25";"Wind blowing from the north-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"24.4";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"1.3";"No precipitation";"12";"";"";"";"";
"09.06.2020 13:00";"21.7";"703.9";"761.6";"";"31";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"3.9";"No precipitation";"6";"";"";"";"";
"09.06.2020 07:00";"11.9";"704.8";"764.5";"";"56";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"10.9";"";"";"";"";"";"";"30.0";"3.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"10.0";"";"";
"08.06.2020 19:00";"20.4";"702.0";"759.7";"";"32";"Wind blowing from the north";"4";"";"";"60%.";" ";"";"";"";"23.8";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"3.2";"No precipitation";"12";"";"";"";"";
"08.06.2020 13:00";"22.4";"702.1";"759.5";"";"28";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"3.0";"No precipitation";"6";"";"";"";"";
"08.06.2020 07:00";"11.6";"701.7";"761.3";"";"55";"Wind blowing from the east-northeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"11.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"2.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"9.0";"";"";
"07.06.2020 19:00";"22.6";"698.2";"755.2";"";"44";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"25.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"20.0";"9.7";"2.0";"12";"";"";"";"";
"07.06.2020 13:00";"23.5";"698.2";"755.0";"";"38";"Wind blowing from the south-west";"6";"";"";"60%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"30.0";"8.4";"No precipitation";"6";"";"";"";"";
"07.06.2020 07:00";"14.8";"697.7";"756.2";"";"69";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"14.3";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"9.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
"06.06.2020 19:00";"25.2";"696.5";"752.8";"";"27";"Wind blowing from the west-southwest";"9";"";"";"20–30%.";" ";"";"";"";"28.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"4.9";"No precipitation";"12";"";"";"";"";
"06.06.2020 13:00";"25.3";"698.6";"755.1";"";"30";"Wind blowing from the south-southwest";"6";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"6.5";"No precipitation";"6";"";"";"";"";
"06.06.2020 07:00";"16.9";"699.9";"758.1";"";"65";"Wind blowing from the south-west";"5";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"10.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"05.06.2020 19:00";"26.7";"699.2";"755.5";"";"26";"Wind blowing from the south-southwest";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"28.7";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.6";"No precipitation";"12";"";"";"";"";
"05.06.2020 13:00";"24.9";"700.7";"757.4";"";"30";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.1";"No precipitation";"6";"";"";"";"";
"05.06.2020 07:00";"13.7";"701.2";"760.2";"";"67";"Wind blowing from the south-east";"3";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"11.1";"";"";"";"";"";"";"30.0";"7.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"6.0";"";"";
"04.06.2020 19:00";"20.2";"697.3";"754.6";"";"36";"Wind blowing from the north-west";"5";"";"";"50%.";" ";"";"";"";"24.0";"Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"4.7";"0.8";"12";"";"";"";"";
"04.06.2020 13:00";"21.4";"696.4";"753.5";"";"32";"Wind blowing from the west";"6";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"4.0";"0.8";"6";"";"";"";"";
"04.06.2020 07:00";"15.6";"695.3";"753.4";"";"72";"Wind blowing from the west-southwest";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.5";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"20.0";"10.6";"0.1";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"03.06.2020 19:00";"25.8";"696.4";"752.5";"";"34";"Wind blowing from the west-southwest";"8";"";"";"40%.";" ";"";"";"";"29.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"8.8";"No precipitation";"12";"";"";"";"";
"03.06.2020 13:00";"26.7";"698.6";"754.8";"";"32";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus castellanus or floccus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"8.6";"No precipitation";"6";"";"";"";"";
"03.06.2020 07:00";"16.8";"700.1";"758.4";"";"65";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"10.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"13.0";"";"";
"02.06.2020 19:00";"28.3";"700.4";"756.5";"";"21";"Wind blowing from the west-southwest";"6";"";"";"20–30%.";" ";"";"";"";"30.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"30.0";"3.9";"No precipitation";"12";"";"";"";"";
"02.06.2020 13:00";"25.8";"702.5";"759.1";"";"40";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"11.2";"No precipitation";"6";"";"";"";"";
"02.06.2020 07:00";"18.5";"702.7";"760.8";"";"72";"Wind blowing from the east-northeast";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"";"";"17.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"25.0";"13.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
"01.06.2020 19:00";"26.3";"701.7";"758.2";"";"36";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"29.5";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"10.0";"No precipitation";"12";"";"";"";"";
"01.06.2020 13:00";"27.4";"702.6";"758.9";"";"36";"Wind blowing from the south-southeast";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"11.0";"No precipitation";"6";"";"";"";"";
"01.06.2020 07:00";"15.4";"702.5";"761.2";"";"92";"Calm, no wind";"0";"";"";"40%.";"State of sky on the whole unchanged. ";"";"";"14.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"14.1";"Trace of precipitation";"12";"Surface of ground moist.";"10.0";"";"";
"31.05.2020 19:00";"18.0";"699.3";"757.1";"";"79";"Wind blowing from the north";"4";"";"";"100%.";"Moderate or heavy rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"31.7";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"1000-1500";"";"";"12.0";"14.3";"0.2";"12";"";"";"";"";
"31.05.2020 13:00";"27.9";"700.0";"756.1";"";"31";"Wind blowing from the east-northeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"9.2";"No precipitation";"6";"";"";"";"";
"31.05.2020 07:00";"19.6";"700.4";"758.2";"";"49";"Wind blowing from the east";"4";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"";"";"19.3";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"8.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"30.05.2020 19:00";"29.9";"699.3";"754.9";"";"23";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"32.2";"Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"6.5";"No precipitation";"12";"";"";"";"";
"30.05.2020 13:00";"28.6";"701.4";"757.4";"";"27";"Wind blowing from the south-east";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"7.8";"No precipitation";"6";"";"";"";"";
"30.05.2020 07:00";"18.8";"702.6";"760.6";"";"50";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"18.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"8.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"13.0";"";"";
"29.05.2020 19:00";"29.6";"700.7";"756.5";"";"23";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"31.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"6.3";"No precipitation";"12";"";"";"";"";
"29.05.2020 13:00";"27.2";"703.3";"759.7";"";"31";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.6";"No precipitation";"6";"";"";"";"";
"29.05.2020 07:00";"17.3";"705.4";"764.0";"";"54";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"30.0";"7.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"11.0";"";"";
"28.05.2020 19:00";"27.0";"705.1";"761.8";"";"27";"Wind blowing from the south-southeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"28.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"6.4";"No precipitation";"12";"";"";"";"";
"28.05.2020 13:00";"25.6";"707.5";"764.6";"";"29";"Wind blowing from the east-northeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.3";"No precipitation";"6";"";"";"";"";
"28.05.2020 07:00";"17.8";"709.2";"768.1";"";"51";"Wind blowing from the east-northeast";"2";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"16.6";"";"";"";"";"";"";"30.0";"7.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"13.0";"";"";
"27.05.2020 19:00";"27.6";"707.2";"763.9";"";"24";"Wind blowing from the south-east";"6";"";"";"20–30%.";" ";"";"";"";"30.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.2";"No precipitation";"12";"";"";"";"";
"27.05.2020 13:00";"27.0";"708.7";"765.7";"";"30";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.0";"No precipitation";"6";"";"";"";"";
"27.05.2020 07:00";"17.8";"709.6";"768.4";"";"73";"Wind blowing from the east-northeast";"2";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"15.4";"";"";"";"";"";"";"30.0";"12.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
"26.05.2020 19:00";"24.8";"707.7";"764.9";"-0.6";"47";"Wind blowing from the north-east";"4";"";"";"60%.";" ";"";"";"";"27.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"12.7";"No precipitation";"12";"";"";"";"";
"26.05.2020 16:00";"26.4";"708.3";"765.2";"-1.3";"41";"Wind blowing from the east";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"12.1";"";"";"";"";"";"";
"26.05.2020 13:00";"23.2";"709.6";"767.3";"";"50";"Wind blowing from the south-southeast";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"12.2";"No precipitation";"6";"";"";"";"";
"26.05.2020 07:00";"18.0";"709.6";"768.3";"";"77";"Wind blowing from the north-east";"3";"";"";"50%.";"State of sky on the whole unchanged. ";"";"";"16.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"13.9";"Trace of precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"25.05.2020 19:00";"22.6";"707.2";"764.8";"";"65";"Wind blowing from the south-east";"3";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"29.9";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"15.7";"0.2";"12";"";"";"";"";
"25.05.2020 13:00";"27.8";"708.1";"764.7";"";"39";"Wind blowing from the south-east";"3";"";"";"20–30%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"12.6";"No precipitation";"6";"";"";"";"";
"25.05.2020 07:00";"19.1";"708.8";"767.2";"";"71";"Wind blowing from the east";"2";"";"";"60%.";"State of sky on the whole unchanged. ";"";"";"17.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"13.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"24.05.2020 19:00";"29.2";"707.6";"764.1";"";"25";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"31.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"7.2";"No precipitation";"12";"";"";"";"";
"24.05.2020 13:00";"26.8";"709.5";"766.4";"";"41";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"12.4";"No precipitation";"6";"";"";"";"";
"24.05.2020 07:00";"17.8";"710.2";"769.1";"";"63";"Wind blowing from the north-northeast";"3";"";"";"20–30%.";"State of sky on the whole unchanged. ";"";"";"16.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"10.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"23.05.2020 19:00";"31.0";"707.8";"763.8";"";"29";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"32.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"10.9";"No precipitation";"12";"";"";"";"";
"23.05.2020 13:00";"30.7";"709.6";"765.3";"";"35";"Wind blowing from the south-west";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"13.5";"No precipitation";"6";"";"";"";"";
"23.05.2020 07:00";"18.8";"709.5";"768.1";"";"61";"Wind blowing from the north";"2";"";"";"60%.";"State of sky on the whole unchanged. ";"";"";"17.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.1";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
