# Weather station Prague / Vaclav Havel (airport), Czech Republic, WMO_ID=11518,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11518&lang=en
#
"Local time in Prague / Vaclav Havel (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.06.2020 03:00";"13.0";"714.7";"746.2";"0.3";"92";"Wind blowing from the south-west";"6";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"20.0";"11.7";"0.1";"1";"";"";"";"";
"05.06.2020 02:00";"13.1";"714.7";"746.2";"0.0";"92";"Wind blowing from the south-west";"5";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"35.0";"11.8";"No precipitation";"1";"";"";"";"";
"05.06.2020 01:00";"13.3";"714.5";"746.0";"-0.4";"93";"Wind blowing from the south-southwest";"5";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"12.2";"5.0";"6";"";"";"";"";
"05.06.2020 00:00";"13.6";"714.4";"745.9";"0.0";"92";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"12.3";"Trace of precipitation";"1";"";"";"";"";
"04.06.2020 23:00";"13.8";"714.7";"746.1";"0.0";"94";"Wind blowing from the south-west";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"12.9";"0.5";"1";"";"";"";"";
"04.06.2020 22:00";"13.9";"714.9";"746.3";"0.8";"95";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"30.0";"13.1";"0.1";"1";"";"";"";"";
"04.06.2020 21:00";"13.9";"714.4";"745.9";"-0.1";"94";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"40.0";"13.0";"1.0";"1";"";"";"";"";
"04.06.2020 20:00";"14.2";"714.7";"746.0";"-0.1";"91";"Wind blowing from the west";"5";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"300-600";"";"";"4.0";"12.8";"4.0";"1";"";"";"";"";
"04.06.2020 19:00";"17.3";"714.1";"745.1";"-1.2";"82";"Wind blowing from the east-southeast";"4";"";"";"100%.";"Clouds generally forming or developing. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"21.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"30.0";"14.1";"1.0";"12";"";"";"";"";
"04.06.2020 18:00";"17.2";"714.5";"745.6";"-1.1";"82";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"14.1";"No precipitation";"1";"";"";"";"";
"04.06.2020 17:00";"17.4";"714.8";"745.9";"-1.4";"80";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"45.0";"13.8";"No precipitation";"1";"";"";"";"";
"04.06.2020 16:00";"17.3";"715.3";"746.4";"";"78";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"13.4";"No precipitation";"1";"";"";"";"";
"04.06.2020 15:00";"17.5";"715.6";"746.7";"";"78";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"13.6";"Trace of precipitation";"1";"";"";"";"";
"04.06.2020 14:00";"17.8";"716.2";"747.3";"-0.3";"75";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"30.0";"13.3";"0.5";"1";"";"";"";"";
"04.06.2020 13:00";"16.0";"716.8";"748.1";"0.2";"87";"Wind blowing from the south";"5";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"8.0";"13.9";"0.7";"6";"";"";"";"";
"04.06.2020 12:00";"19.6";"716.5";"747.4";"-0.2";"60";"Wind blowing from the south-west";"5";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"Altostratus translucidus.";"";"35.0";"11.6";"Trace of precipitation";"1";"";"";"";"";
"04.06.2020 11:00";"19.6";"716.5";"747.4";"-0.6";"59";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"11.4";"No precipitation";"1";"";"";"";"";
"04.06.2020 10:00";"19.3";"716.6";"747.5";"-0.6";"60";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"11.4";"No precipitation";"1";"";"";"";"";
"04.06.2020 09:00";"17.7";"716.7";"747.8";"-0.8";"65";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"10.9";"No precipitation";"1";"";"";"";"";
"04.06.2020 08:00";"16.1";"717.1";"748.4";"-0.6";"74";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"11.5";"No precipitation";"1";"";"";"";"";
"04.06.2020 07:00";"13.8";"717.2";"748.8";"-0.8";"86";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";" ";"";"";"8.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"11.5";"0.3";"12";"Surface of ground moist.";"7.0";"";"";
"04.06.2020 06:00";"11.2";"717.5";"749.4";"-0.9";"94";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"50.0";"10.3";"No precipitation";"1";"";"";"";"";
"04.06.2020 05:00";"10.3";"717.7";"749.8";"-1.5";"95";"Wind blowing from the south-southeast";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"60.0";"9.5";"No precipitation";"1";"";"";"";"";
"04.06.2020 04:00";"9.1";"718.0";"750.2";"-1.2";"95";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"60.0";"8.3";"No precipitation";"1";"";"";"";"";
"04.06.2020 03:00";"8.8";"718.4";"750.7";"-1.1";"95";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"45.0";"8.0";"No precipitation";"1";"";"";"";"";
"04.06.2020 02:00";"9.0";"719.2";"751.4";"-0.6";"94";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"45.0";"8.0";"No precipitation";"1";"";"";"";"";
"04.06.2020 01:00";"10.7";"719.2";"751.3";"-1.5";"92";"Wind blowing from the south";"2";"";"13";"60%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Rain.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"45.0";"9.5";"0.3";"6";"";"";"";"";
"04.06.2020 00:00";"10.7";"719.5";"751.5";"-1.0";"91";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"45.0";"9.3";"No precipitation";"1";"";"";"";"";
"03.06.2020 23:00";"12.5";"719.8";"751.6";"-1.6";"85";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"10.1";"Trace of precipitation";"1";"";"";"";"";
"03.06.2020 22:00";"13.4";"720.7";"752.5";"0.0";"80";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"35.0";"10.0";"No precipitation";"1";"";"";"";"";
"03.06.2020 21:00";"14.8";"720.5";"752.2";"0.0";"69";"Wind blowing from the south-southwest";"7";"";"12";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"40.0";"9.2";"No precipitation";"1";"";"";"";"";
"03.06.2020 20:00";"13.7";"721.4";"753.1";"0.4";"85";"Wind blowing from the south-west";"7";"";"13";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"35.0";"11.2";"0.3";"1";"";"";"";"";
"03.06.2020 19:00";"17.2";"720.7";"752.0";"-0.3";"57";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"23.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"30.0";"8.5";"2.0";"12";"";"";"";"";
"03.06.2020 18:00";"15.9";"720.5";"752.0";"-0.7";"72";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"30.0";"10.8";"2.0";"1";"";"";"";"";
"03.06.2020 17:00";"18.6";"721.0";"752.2";"-0.6";"61";"Wind blowing from the north";"5";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"20.0";"11.0";"0.2";"1";"";"";"";"";
"03.06.2020 16:00";"18.8";"721.0";"752.2";"-1.2";"49";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"30.0";"7.9";"No precipitation";"1";"";"";"";"";
"03.06.2020 15:00";"22.0";"721.2";"752.1";"-1.5";"39";"Wind blowing from the north";"3";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"30.0";"7.2";"No precipitation";"1";"";"";"";"";
"03.06.2020 14:00";"23.0";"721.6";"752.4";"-1.5";"39";"Wind blowing from the north-east";"4";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"50.0";"8.3";"No precipitation";"1";"";"";"";"";
"03.06.2020 13:00";"22.5";"722.2";"753.1";"-1.2";"46";"Wind blowing from the north-west";"4";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"70.0";"10.3";"Trace of precipitation";"6";"";"";"";"";
"03.06.2020 12:00";"22.5";"722.7";"753.5";"-1.0";"46";"Wind blowing from the north-west";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"10.2";"No precipitation";"1";"";"";"";"";
"03.06.2020 11:00";"21.9";"723.1";"754.1";"-0.8";"43";"Wind blowing from the north";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"8.8";"No precipitation";"1";"";"";"";"";
"03.06.2020 10:00";"21.3";"723.4";"754.5";"-0.7";"45";"Wind blowing from the north-northwest";"7";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"8.7";"No precipitation";"1";"";"";"";"";
"03.06.2020 09:00";"20.4";"723.7";"754.8";"-0.6";"52";"Wind blowing from the north-west";"6";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"10.2";"No precipitation";"1";"";"";"";"";
"03.06.2020 08:00";"18.0";"723.9";"755.2";"-0.6";"67";"Wind blowing from the west";"4";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"60.0";"11.8";"No precipitation";"1";"";"";"";"";
"03.06.2020 07:00";"15.5";"724.1";"755.8";"-0.6";"75";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"10.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"60.0";"11.1";"3.0";"12";"Surface of ground moist.";"9.0";"";"";
"03.06.2020 06:00";"13.3";"724.3";"756.2";"-0.9";"82";"Wind blowing from the west-southwest";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"60.0";"10.2";"No precipitation";"1";"";"";"";"";
"03.06.2020 05:00";"11.0";"724.5";"756.7";"-1.0";"90";"Wind blowing from the west-southwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"60.0";"9.4";"No precipitation";"1";"";"";"";"";
"03.06.2020 04:00";"10.7";"724.7";"757.0";"-1.4";"92";"Wind blowing from the west-southwest";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"50.0";"9.5";"No precipitation";"1";"";"";"";"";
"03.06.2020 03:00";"10.5";"725.2";"757.5";"-1.4";"91";"Wind blowing from the west";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"9.1";"No precipitation";"1";"";"";"";"";
"03.06.2020 02:00";"11.7";"725.5";"757.7";"-1.3";"89";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"9.9";"No precipitation";"1";"";"";"";"";
"03.06.2020 01:00";"11.0";"726.1";"758.4";"-1.0";"89";"Wind blowing from the west-southwest";"2";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"9.3";"3.0";"6";"";"";"";"";
"03.06.2020 00:00";"12.0";"726.6";"758.8";"-1.0";"88";"Wind blowing from the west-southwest";"3";"";"";"50%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"45.0";"10.1";"Trace of precipitation";"1";"";"";"";"";
"02.06.2020 23:00";"12.9";"726.8";"758.9";"-1.4";"83";"Wind blowing from the west";"8";"";"";"60%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"10.0";"0.2";"1";"";"";"";"";
"02.06.2020 22:00";"12.3";"727.1";"759.3";"-2.2";"85";"Wind blowing from the west";"4";"";"";"50%.";"Rain (not freezing) not falling as shower(s). ";"Shower(s).";"Rain.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.8";"0.1";"1";"";"";"";"";
