# Weather station Warsaw / Okecie (airport), Poland, WMO_ID=12375,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=12375&lang=en
#
"Local time in Warsaw / Okecie (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.06.2020 22:00";"18.5";"748.4";"757.8";"0.1";"82";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"";"35.0";"15.4";"";"";"";"";"";"";
"11.06.2020 21:00";"20.9";"748.9";"758.2";"0.7";"63";"Wind blowing from the south-east";"4";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"1000-1500";"";"";"35.0";"13.6";"";"";"";"";"";"";
"11.06.2020 20:00";"23.6";"748.6";"757.9";"0.3";"65";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"35.0";"16.6";"";"";"";"";"";"";
"11.06.2020 19:00";"24.0";"748.3";"757.5";"0.6";"62";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"18.1";"25.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"35.0";"16.3";"No precipitation";"12";"";"";"";"";
"11.06.2020 18:00";"25.0";"748.2";"757.3";"0.0";"57";"Wind blowing from the east-northeast";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"35.0";"15.9";"";"";"";"";"";"";
"11.06.2020 17:00";"25.2";"748.3";"757.4";"-0.2";"56";"Wind blowing from the east-northeast";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"15.8";"";"";"";"";"";"";
"11.06.2020 16:00";"25.7";"747.7";"756.9";"-1.2";"53";"Wind blowing from the west-northwest";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"15.4";"";"";"";"";"";"";
"11.06.2020 15:00";"25.4";"748.2";"757.3";"-0.5";"58";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.5";"";"";"";"";"";"";
"11.06.2020 14:00";"23.9";"748.5";"757.7";"-0.2";"63";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.4";"";"";"";"";"";"";
"11.06.2020 13:00";"23.6";"748.9";"758.1";"0.1";"66";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"16.9";"No precipitation";"6";"";"";"";"";
"11.06.2020 12:00";"22.9";"748.7";"757.9";"0.1";"70";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"17.1";"";"";"";"";"";"";
"11.06.2020 11:00";"22.1";"748.7";"757.9";"0.4";"70";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"16.4";"";"";"";"";"";"";
"11.06.2020 10:00";"20.8";"748.8";"758.1";"0.8";"79";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"17.0";"";"";"";"";"";"";
"11.06.2020 09:00";"19.2";"748.6";"757.9";"0.7";"89";"Wind blowing from the east-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"20.0";"17.3";"";"";"";"";"";"";
"11.06.2020 08:00";"18.5";"748.3";"757.7";"0.5";"91";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"15.0";"17.0";"";"";"";"";"";"";
"11.06.2020 07:00";"18.1";"748.0";"757.3";"0.6";"96";"Wind blowing from the south-east";"2";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"17.1";"20.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"17.5";"18.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"17.0";"";"";
"11.06.2020 06:00";"17.7";"747.9";"757.3";"0.8";"97";"Wind blowing from the south-east";"2";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"4.5";"17.2";"";"";"";"";"";"";
"11.06.2020 05:00";"17.2";"747.8";"757.2";"0.6";"98";"Wind blowing from the east-southeast";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"2.7";"16.9";"";"";"";"";"";"";
"11.06.2020 04:00";"17.6";"747.4";"756.7";"0.3";"98";"Wind blowing from the south-east";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"50-100";"";"";"5.0";"17.3";"";"";"";"";"";"";
"11.06.2020 03:00";"17.9";"747.1";"756.4";"0.0";"99";"Wind blowing from the south-east";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"3.0";"17.7";"";"";"";"";"";"";
"11.06.2020 02:00";"18.0";"747.2";"756.6";"-0.4";"98";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"50-100";"";"";"3.5";"17.7";"";"";"";"";"";"";
"11.06.2020 01:00";"18.4";"747.1";"756.4";"-0.1";"98";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"100-200";"";"";"8.0";"18.1";"18.0";"6";"";"";"";"";
"11.06.2020 00:00";"18.5";"747.1";"756.5";"-0.4";"97";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"";"";"10.0";"18.0";"";"";"";"";"";"";
"10.06.2020 23:00";"19.1";"747.6";"756.9";"-0.1";"97";"Wind blowing from the east";"4";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"300-600";"";"";"15.0";"18.6";"";"";"";"";"";"";
"10.06.2020 22:00";"19.5";"747.2";"756.5";"-0.8";"93";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"1000-1500";"";"";"13.0";"18.3";"";"";"";"";"";"";
"10.06.2020 21:00";"19.4";"747.5";"756.8";"-0.8";"94";"Wind blowing from the west-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"18.4";"";"";"";"";"";"";
"10.06.2020 20:00";"19.8";"747.7";"757.0";"-0.7";"92";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"17.0";"18.5";"";"";"";"";"";"";
"10.06.2020 19:00";"20.9";"748.0";"757.3";"-0.6";"85";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.8";"22.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"600-1000";"";"";"15.0";"18.3";"0.2";"12";"";"";"";"";
"10.06.2020 18:00";"22.2";"748.3";"757.5";"-0.6";"74";"Wind blowing from the north-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"17.3";"";"";"";"";"";"";
"10.06.2020 17:00";"22.2";"748.4";"757.6";"-1.0";"75";"Wind blowing from the north-west";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"17.6";"";"";"";"";"";"";
"10.06.2020 16:00";"21.6";"748.6";"757.9";"-1.1";"75";"Wind blowing from the north-northwest";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"17.0";"";"";"";"";"";"";
"10.06.2020 15:00";"21.2";"748.9";"758.2";"-0.9";"78";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"17.2";"";"";"";"";"";"";
"10.06.2020 14:00";"20.0";"749.4";"758.7";"-0.3";"80";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"24.0";"16.4";"";"";"";"";"";"";
"10.06.2020 13:00";"18.9";"749.7";"759.1";"0.2";"86";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"18.0";"16.5";"No precipitation";"6";"";"";"";"";
"10.06.2020 12:00";"18.3";"749.8";"759.1";"0.0";"86";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"";"";"24.0";"15.9";"";"";"";"";"";"";
"10.06.2020 11:00";"18.1";"749.7";"759.1";"-0.4";"88";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"";"";"15.0";"16.1";"";"";"";"";"";"";
"10.06.2020 10:00";"17.0";"749.5";"759.0";"-0.4";"90";"Wind blowing from the north-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"20.0";"15.3";"";"";"";"";"";"";
"10.06.2020 09:00";"16.0";"749.8";"759.3";"-0.2";"93";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"100-200";"";"";"15.0";"14.9";"";"";"";"";"";"";
"10.06.2020 08:00";"15.3";"750.1";"759.7";"0.1";"94";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"100-200";"";"";"15.0";"14.3";"";"";"";"";"";"";
"10.06.2020 07:00";"14.8";"749.9";"759.4";"0.0";"94";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"14.2";"17.3";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"100-200";"";"";"10.0";"13.8";"3.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"14.0";"";"";
"10.06.2020 06:00";"14.5";"750.0";"759.5";"-0.2";"95";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"100-200";"";"";"13.0";"13.7";"";"";"";"";"";"";
"10.06.2020 05:00";"14.3";"750.0";"759.5";"-0.4";"95";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"100-200";"";"";"15.0";"13.5";"";"";"";"";"";"";
"10.06.2020 04:00";"14.3";"749.9";"759.4";"-0.4";"96";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"100-200";"Altocumulus translucidus at a single level.";"";"11.0";"13.7";"";"";"";"";"";"";
"10.06.2020 03:00";"14.5";"750.2";"759.7";"-0.5";"96";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"200-300";"";"";"12.0";"13.9";"";"";"";"";"";"";
"10.06.2020 02:00";"14.6";"750.4";"760.0";"-0.5";"95";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"100-200";"";"";"17.0";"13.8";"";"";"";"";"";"";
"10.06.2020 01:00";"14.7";"750.3";"759.8";"-0.5";"95";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"200-300";"";"";"19.0";"13.9";"3.0";"6";"";"";"";"";
"10.06.2020 00:00";"14.9";"750.7";"760.3";"-0.4";"95";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"300-600";"";"";"20.0";"14.1";"";"";"";"";"";"";
"09.06.2020 23:00";"15.4";"750.9";"760.4";"-0.2";"93";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"300-600";"";"";"19.0";"14.3";"";"";"";"";"";"";
"09.06.2020 22:00";"15.6";"750.8";"760.3";"-0.2";"93";"Wind blowing from the north-northwest";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"";"20.0";"14.5";"";"";"";"";"";"";
"09.06.2020 21:00";"15.9";"751.1";"760.6";"0.2";"93";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"30.0";"14.8";"";"";"";"";"";"";
"09.06.2020 20:00";"16.3";"751.1";"760.6";"0.2";"91";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"300-600";"";"";"24.0";"14.8";"";"";"";"";"";"";
"09.06.2020 19:00";"17.3";"751.0";"760.5";"0.1";"82";"Wind blowing from the north-northwest";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.8";"18.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"35.0";"14.2";"Trace of precipitation";"12";"";"";"";"";
"09.06.2020 18:00";"17.5";"750.9";"760.3";"-0.4";"81";"Wind blowing from the north-northwest";"4";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"35.0";"14.2";"";"";"";"";"";"";
"09.06.2020 17:00";"17.8";"750.9";"760.3";"-0.7";"81";"Wind blowing from the north-west";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"14.5";"";"";"";"";"";"";
"09.06.2020 16:00";"17.9";"750.9";"760.3";"-0.7";"79";"Wind blowing from the north-northwest";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"35.0";"14.2";"";"";"";"";"";"";
"09.06.2020 15:00";"17.8";"751.3";"760.7";"-0.2";"78";"Wind blowing from the north-northwest";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"13.9";"";"";"";"";"";"";
"09.06.2020 14:00";"17.5";"751.6";"761.1";"-0.1";"78";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"13.6";"";"";"";"";"";"";
"09.06.2020 13:00";"17.2";"751.6";"761.0";"-0.3";"79";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"13.5";"No precipitation";"6";"";"";"";"";
"09.06.2020 12:00";"17.0";"751.5";"760.9";"-0.3";"77";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"35.0";"12.9";"";"";"";"";"";"";
"09.06.2020 11:00";"16.0";"751.7";"761.2";"0.1";"81";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"20.0";"12.7";"";"";"";"";"";"";
"09.06.2020 10:00";"14.6";"751.9";"761.4";"0.6";"87";"Wind blowing from the north-northwest";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"15.0";"12.5";"";"";"";"";"";"";
"09.06.2020 09:00";"14.1";"751.8";"761.3";"0.5";"88";"Wind blowing from the north-northwest";"3";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"15.0";"12.1";"";"";"";"";"";"";
"09.06.2020 08:00";"13.2";"751.6";"761.2";"0.6";"92";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"11.9";"";"";"";"";"";"";
"09.06.2020 07:00";"12.9";"751.3";"760.9";"0.4";"94";"Wind blowing from the north-west";"3";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.6";"14.1";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"9.0";"12.0";"Trace of precipitation";"12";"Surface of ground moist.";"13.0";"";"";
"09.06.2020 06:00";"12.7";"751.3";"760.9";"0.5";"94";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"6.0";"11.8";"";"";"";"";"";"";
"09.06.2020 05:00";"12.7";"751.0";"760.6";"0.3";"96";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"3.5";"12.1";"";"";"";"";"";"";
"09.06.2020 04:00";"12.7";"750.9";"760.5";"0.2";"93";"Wind blowing from the north-west";"4";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"11.6";"";"";"";"";"";"";
"09.06.2020 03:00";"13.0";"750.8";"760.4";"0.1";"90";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"20.0";"11.4";"";"";"";"";"";"";
