"# Weather station Rome / Fiumicino (airport), Italy, METAR=LIRF,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LIRF&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Rome / Fiumicino (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
10.06.2020 19:50,20.0,758.8,759.0,60,Wind blowing from the west-southwest,7,,,,Scattered clouds (40-50%) 900 m,10.0 and more,12.0
10.06.2020 19:20,20.0,758.8,759.0,64,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 18:50,20.0,758.8,759.0,60,Wind blowing from the west-southwest,7,,,,"Scattered clouds (40-50%) 900 m, cumulus congestus of great vertical extent",10.0 and more,12.0
10.06.2020 18:20,21.0,758.8,759.0,57,Wind blowing from the south-west,7,,,,Scattered clouds (40-50%) 990 m,10.0 and more,12.0
10.06.2020 17:50,21.0,758.8,759.0,60,Wind blowing from the south-west,8,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 17:20,22.0,758.8,759.0,57,Wind blowing from the west-southwest,7,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 16:50,22.0,758.8,759.0,57,Wind blowing from the west-southwest,8,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 16:20,22.0,758.8,759.0,61,Wind blowing from the south-west,8,,,,Scattered clouds (40-50%) 900 m,10.0 and more,14.0
10.06.2020 15:50,21.0,758.8,759.0,60,Wind blowing from the south-west,9,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 15:20,22.0,758.8,759.0,57,Wind blowing from the south-west,9,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 14:50,23.0,758.8,759.0,57,Wind blowing from the south-west,9,,,,Broken clouds (60-90%) 750 m,10.0 and more,14.0
10.06.2020 14:20,22.0,758.8,759.0,57,Wind blowing from the south-west,9,,,,Few clouds (10-30%) 750 m,10.0 and more,13.0
10.06.2020 13:50,22.0,758.8,759.0,57,Wind blowing from the south-west,10,,,,Few clouds (10-30%) 750 m,10.0 and more,13.0
10.06.2020 13:20,22.0,758.8,759.0,57,Wind blowing from the west-southwest,10,,,,Few clouds (10-30%) 750 m,10.0 and more,13.0
10.06.2020 12:50,22.0,758.8,759.0,61,Wind blowing from the west-southwest,10,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
10.06.2020 12:20,22.0,758.8,759.0,61,Wind blowing from the west-southwest,8,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
10.06.2020 11:50,22.0,758.8,759.0,61,Wind blowing from the west-southwest,9,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
10.06.2020 11:20,22.0,758.8,759.0,57,Wind blowing from the west-southwest,9,,,,Scattered clouds (40-50%) 750 m,10.0 and more,13.0
10.06.2020 10:50,22.0,758.0,758.2,57,Wind blowing from the west-southwest,9,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
10.06.2020 10:20,22.0,758.0,758.2,57,Wind blowing from the south-west,9,,,,Scattered clouds (40-50%) 750 m,10.0 and more,13.0
10.06.2020 09:50,22.0,758.0,758.2,61,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 750 m,10.0 and more,14.0
10.06.2020 09:20,21.0,758.0,758.2,69,Wind blowing from the west-southwest,7,,,,Scattered clouds (40-50%) 750 m,10.0 and more,15.0
10.06.2020 08:50,21.0,758.0,758.2,64,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
10.06.2020 08:20,20.0,758.0,758.2,69,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
10.06.2020 07:50,20.0,758.0,758.2,69,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
10.06.2020 07:20,21.0,758.0,758.2,64,Wind blowing from the south-west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,14.0
10.06.2020 06:50,20.0,758.0,758.2,69,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 900 m,10.0 and more,14.0
10.06.2020 06:20,19.0,757.5,757.7,78,Wind blowing from the west-southwest,6,,,,"Few clouds (10-30%) 600 m, cumulonimbus clouds",10.0 and more,15.0
10.06.2020 05:50,19.0,757.5,757.7,78,Wind blowing from the west-southwest,6,,,,"Few clouds (10-30%) 600 m, cumulonimbus clouds",10.0 and more,15.0
10.06.2020 05:20,19.0,758.0,758.2,78,Wind blowing from the west-southwest,6,,,,"Few clouds (10-30%) 450 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 600 m",10.0 and more,15.0
10.06.2020 04:50,19.0,757.5,757.7,83,Wind blowing from the south-west,5,,,,Scattered clouds (40-50%) 480 m,10.0 and more,16.0
10.06.2020 04:20,19.0,758.0,758.2,83,Wind blowing from the south-west,4,,,,Scattered clouds (40-50%) 450 m,10.0 and more,16.0
10.06.2020 03:50,19.0,758.0,758.2,78,Wind blowing from the south-west,5,,,,Scattered clouds (40-50%) 480 m,10.0 and more,15.0
10.06.2020 03:20,19.0,758.0,758.2,78,Wind blowing from the south-west,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,15.0
10.06.2020 02:50,19.0,758.0,758.2,73,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 600 m,10.0 and more,14.0
10.06.2020 02:20,19.0,758.0,758.2,73,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 600 m,10.0 and more,14.0
10.06.2020 01:50,19.0,758.0,758.2,68,Wind blowing from the south-west,7,,,,Few clouds (10-30%) 750 m,10.0 and more,13.0
10.06.2020 01:20,19.0,758.0,758.2,68,Wind blowing from the south-west,7,,,,No Significant Clouds,10.0 and more,13.0
10.06.2020 00:50,19.0,758.8,759.0,68,Wind blowing from the south-west,7,,,,Broken clouds (60-90%) 750 m,10.0 and more,13.0
10.06.2020 00:20,19.0,758.8,759.0,68,Wind blowing from the south-west,7,,,,No Significant Clouds,10.0 and more,13.0
09.06.2020 23:50,19.0,758.8,759.0,64,Wind blowing from the west-southwest,7,,,,No Significant Clouds,10.0 and more,12.0
09.06.2020 23:20,19.0,758.8,759.0,64,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,12.0
09.06.2020 22:50,19.0,758.8,759.0,64,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,12.0
09.06.2020 22:20,19.0,758.8,759.0,64,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,12.0
09.06.2020 21:50,19.0,758.8,759.0,68,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
09.06.2020 21:20,19.0,758.8,759.0,68,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 900 m,10.0 and more,13.0
09.06.2020 20:50,20.0,758.8,759.0,64,Wind blowing from the west-southwest,5,,,,Few clouds (10-30%) 1500 m,10.0 and more,13.0
09.06.2020 20:20,19.0,758.8,759.0,68,Wind blowing from the west-southwest,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
09.06.2020 19:50,19.0,758.8,759.0,68,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13.0
09.06.2020 19:20,20.0,758.8,759.0,64,Wind blowing from the west-southwest,5,,,,Few clouds (10-30%) 900 m,10.0 and more,13.0
09.06.2020 18:50,20.0,758.0,758.2,60,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 900 m,10.0 and more,12.0
09.06.2020 18:20,21.0,758.0,758.2,57,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,12.0
09.06.2020 17:50,22.0,758.0,758.2,53,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,12.0
09.06.2020 17:20,22.0,758.0,758.2,57,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,13.0
09.06.2020 16:50,22.0,758.0,758.2,61,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,14.0
09.06.2020 16:20,22.0,758.0,758.2,61,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,14.0
09.06.2020 15:50,21.0,758.0,758.2,60,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 900 m,10.0 and more,13.0
09.06.2020 15:20,23.0,758.0,758.2,57,Wind blowing from the west-southwest,5,,,,Few clouds (10-30%) 900 m,10.0 and more,14.0
09.06.2020 14:50,21.0,758.0,758.2,64,Wind blowing from the south-west,5,,,,Few clouds (10-30%) 900 m,10.0 and more,14.0
09.06.2020 14:20,22.0,758.0,758.2,57,Wind blowing from the south-west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,13.0
09.06.2020 13:50,22.0,758.0,758.2,65,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 600 m,10.0 and more,15.0
09.06.2020 13:20,22.0,758.0,758.2,65,Wind blowing from the west-southwest,6,,,,Scattered clouds (40-50%) 600 m,10.0 and more,15.0
09.06.2020 12:50,22.0,758.0,758.2,65,Wind blowing from the south-west,7,,,,Few clouds (10-30%) 750 m,10.0 and more,15.0
09.06.2020 12:20,22.0,758.0,758.2,61,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 750 m,10.0 and more,14.0
09.06.2020 11:50,22.0,758.0,758.2,61,Wind blowing from the south-west,7,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14.0
09.06.2020 11:20,23.0,758.0,758.2,57,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,14.0
09.06.2020 10:50,23.0,758.0,758.2,57,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 900 m,10.0 and more,14.0
09.06.2020 10:20,23.0,758.0,758.2,61,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 750 m,10.0 and more,15.0
09.06.2020 09:50,22.0,757.5,757.7,65,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 750 m,10.0 and more,15.0
09.06.2020 09:20,22.0,757.5,757.7,65,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 600 m,10.0 and more,15.0
09.06.2020 08:50,21.0,757.5,757.7,73,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 540 m,10.0 and more,16.0
09.06.2020 08:20,21.0,757.5,757.7,73,Wind blowing from the west-southwest,5,,,,Scattered clouds (40-50%) 540 m,10.0 and more,16.0
09.06.2020 07:50,21.0,757.5,757.7,78,Wind blowing from the south-west,6,,,,Few clouds (10-30%) 540 m,10.0 and more,17.0
09.06.2020 07:20,21.0,757.5,757.7,78,Wind blowing from the south,4,,,,Scattered clouds (40-50%) 420 m,10.0 and more,17.0
09.06.2020 06:50,19.0,756.7,756.9,83,Wind blowing from the east-southeast,3,,,,Scattered clouds (40-50%) 540 m,10.0 and more,16.0
09.06.2020 06:20,18.0,756.7,756.9,83,Wind blowing from the south-east,4,,,,Few clouds (10-30%) 540 m,10.0 and more,15.0
09.06.2020 05:50,17.0,756.7,756.9,83,Wind blowing from the south-east,4,,,,Few clouds (10-30%) 450 m,10.0 and more,14.0
09.06.2020 05:20,17.0,756.7,756.9,83,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,14.0
09.06.2020 04:50,16.0,756.7,756.9,88,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,14.0
09.06.2020 04:20,17.0,756.7,756.9,83,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,14.0
09.06.2020 03:50,17.0,756.7,756.9,88,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,15.0
09.06.2020 03:20,17.0,756.7,756.9,88,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,15.0
09.06.2020 02:50,18.0,756.7,756.9,88,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,16.0
09.06.2020 02:20,17.0,756.7,756.9,94,Wind blowing from the east-southeast,3,,,,Few clouds (10-30%) 600 m,10.0 and more,16.0
09.06.2020 01:50,18.0,756.7,756.9,88,Wind blowing from the south-east,2,,,,Few clouds (10-30%) 600 m,10.0 and more,16.0
09.06.2020 01:20,19.0,756.7,756.9,83,Wind blowing from the south-east,2,,,,Few clouds (10-30%) 600 m,10.0 and more,16.0
09.06.2020 00:50,19.0,756.7,756.9,83,variable wind direction,1,,,,Few clouds (10-30%) 510 m,10.0 and more,16.0
09.06.2020 00:20,19.0,756.7,756.9,88,variable wind direction,1,,,,Scattered clouds (40-50%) 450 m,10.0 and more,17.0
08.06.2020 23:50,18.0,756.7,756.9,88,Wind blowing from the east,2,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 450 m",10.0 and more,16.0
08.06.2020 23:20,18.0,756.7,756.9,88,Wind blowing from the east,2,,,,Scattered clouds (40-50%) 300 m,10.0 and more,16.0
08.06.2020 22:50,18.0,756.7,756.9,88,Wind blowing from the east-northeast,3,,,,Scattered clouds (40-50%) 300 m,10.0 and more,16.0
08.06.2020 22:20,19.0,756.7,756.9,88,variable wind direction,1,,,,Few clouds (10-30%) 300 m,10.0 and more,17.0
08.06.2020 21:50,19.0,756.7,756.9,83,Wind blowing from the east-southeast,2,,,,Few clouds (10-30%) 660 m,10.0 and more,16.0
08.06.2020 21:20,20.0,756.7,756.9,78,Wind blowing from the south-southeast,2,,,,Few clouds (10-30%) 450 m,10.0 and more,16.0
08.06.2020 20:50,20.0,756.7,756.9,78,Wind blowing from the south-southeast,2,,,,Few clouds (10-30%) 600 m,10.0 and more,16.0
08.06.2020 19:50,21.0,756.0,756.2,73,Wind blowing from the south,3,,,,Few clouds (10-30%) 600 m,10.0 and more,16.0
08.06.2020 19:20,21.0,756.0,756.2,73,Wind blowing from the south,3,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
08.06.2020 18:50,21.0,756.0,756.2,73,Wind blowing from the south-southwest,4,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
08.06.2020 18:20,21.0,756.0,756.2,73,Wind blowing from the south-southwest,4,,,,Broken clouds (60-90%) 600 m,10.0 and more,16.0
08.06.2020 17:50,22.0,756.0,756.2,69,Wind blowing from the south,4,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
08.06.2020 17:20,22.0,756.0,756.2,69,Wind blowing from the south-southwest,6,,,,Scattered clouds (40-50%) 540 m,10.0 and more,16.0
08.06.2020 16:50,22.0,756.0,756.2,69,Wind blowing from the south-southwest,6,,,,Scattered clouds (40-50%) 660 m,10.0 and more,16.0
08.06.2020 16:20,22.0,756.0,756.2,65,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 600 m,10.0 and more,15.0
08.06.2020 15:50,23.0,756.0,756.2,65,Wind blowing from the south-west,6,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
08.06.2020 12:50,23.0,756.0,756.2,69,Wind blowing from the south-west,6,,,,Broken clouds (60-90%) 450 m,10.0 and more,17.0
08.06.2020 12:20,24.0,756.0,756.2,69,Wind blowing from the south-west,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,18.0
08.06.2020 11:50,23.0,756.0,756.2,74,Wind blowing from the west-southwest,5,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 600 m",10.0 and more,18.0
08.06.2020 11:20,23.0,756.0,756.2,69,Wind blowing from the south-west,5,,,,Scattered clouds (40-50%) 450 m,10.0 and more,17.0
08.06.2020 10:50,23.0,756.0,756.2,69,Wind blowing from the south-west,6,,,,Broken clouds (60-90%) 540 m,10.0 and more,17.0
08.06.2020 10:20,24.0,756.0,756.2,65,Wind blowing from the south,5,,,,Scattered clouds (40-50%) 450 m,10.0 and more,17.0
08.06.2020 09:50,23.0,756.0,756.2,74,Wind blowing from the south-southwest,6,,,,"Few clouds (10-30%) 360 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 450 m",10.0 and more,18.0
08.06.2020 09:20,23.0,756.0,756.2,74,Wind blowing from the south,4,,,,"Few clouds (10-30%) 360 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 420 m",10.0 and more,18.0
08.06.2020 08:50,23.0,755.2,755.4,74,Wind blowing from the south,4,,,,Broken clouds (60-90%) 360 m,10.0 and more,18.0
08.06.2020 08:20,22.0,755.2,755.4,78,Wind blowing from the south-southeast,5,,,,Scattered clouds (40-50%) 300 m,10.0 and more,18.0
08.06.2020 07:50,22.0,755.2,755.4,78,Wind blowing from the south,3,,,,"Scattered clouds (40-50%) 360 m, scattered clouds (40-50%) 1350 m",10.0 and more,18.0
08.06.2020 07:20,22.0,755.2,755.4,78,Wind blowing from the south,3,,,,"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1350 m",10.0 and more,18.0
08.06.2020 06:50,21.0,755.2,755.4,83,Wind blowing from the south,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,18.0
08.06.2020 06:20,21.0,755.2,755.4,83,Wind blowing from the south,4,,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 750 m",10.0 and more,18.0
08.06.2020 05:50,21.0,755.2,755.4,88,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 900 m",10.0 and more,19.0
08.06.2020 05:20,20.0,755.2,755.4,88,Wind blowing from the south-east,6,,,,"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 750 m",10.0 and more,18.0
08.06.2020 04:50,20.0,755.2,755.4,88,Wind blowing from the south-east,7,,,,"Few clouds (10-30%) 450 m, cumulonimbus clouds , scattered clouds (40-50%) 600 m",10.0 and more,18.0
08.06.2020 04:20,20.0,755.2,755.4,88,Wind blowing from the south-east,7,,,,Scattered clouds (40-50%) 750 m,10.0 and more,18.0
08.06.2020 03:50,20.0,755.2,755.4,83,Wind blowing from the south-east,7,,,,Scattered clouds (40-50%) 750 m,10.0 and more,17.0
08.06.2020 03:20,20.0,755.2,755.4,83,Wind blowing from the south-east,7,,,,Scattered clouds (40-50%) 900 m,10.0 and more,17.0
08.06.2020 02:50,20.0,755.2,755.4,83,Wind blowing from the south-east,7,,,,Scattered clouds (40-50%) 900 m,10.0 and more,17.0
08.06.2020 02:20,20.0,755.2,755.4,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,17.0
08.06.2020 01:50,20.0,755.2,755.4,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,17.0
08.06.2020 01:20,20.0,756.0,756.2,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,17.0
08.06.2020 00:50,20.0,756.0,756.2,88,Wind blowing from the south-east,7,,,,Scattered clouds (40-50%) 600 m,10.0 and more,18.0
08.06.2020 00:20,20.0,756.0,756.2,88,Wind blowing from the south-east,7,,,,Scattered clouds (40-50%) 750 m,10.0 and more,18.0
07.06.2020 23:50,20.0,756.0,756.2,83,Wind blowing from the south-east,7,,,,Few clouds (10-30%) 750 m,10.0 and more,17.0
07.06.2020 23:20,20.0,756.0,756.2,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 690 m,10.0 and more,17.0
07.06.2020 22:50,20.0,756.0,756.2,83,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,17.0
07.06.2020 22:20,20.0,756.0,756.2,83,Wind blowing from the south-east,6,,,,No Significant Clouds,10.0 and more,17.0
07.06.2020 21:50,20.0,756.0,756.2,83,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,17.0
07.06.2020 21:20,21.0,756.0,756.2,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,18.0
07.06.2020 20:50,21.0,756.7,756.9,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,18.0
07.06.2020 20:20,21.0,756.7,756.9,78,Wind blowing from the south-east,5,,,,"Few clouds (10-30%) 390 m, scattered clouds (40-50%) 990 m",10.0 and more,17.0
07.06.2020 19:50,21.0,756.7,756.9,78,Wind blowing from the south-southeast,5,,,,No Significant Clouds,10.0 and more,17.0
07.06.2020 19:20,21.0,756.7,756.9,78,Wind blowing from the south-southeast,5,,,,No Significant Clouds,10.0 and more,17.0
07.06.2020 18:50,21.0,756.7,756.9,78,Wind blowing from the south-southeast,6,,,,Few clouds (10-30%) 450 m,10.0 and more,17.0
07.06.2020 18:20,22.0,756.7,756.9,73,Wind blowing from the south-southeast,6,,,,Scattered clouds (40-50%) 360 m,10.0 and more,17.0
07.06.2020 17:50,22.0,756.7,756.9,73,Wind blowing from the south-southeast,6,11,,,Few clouds (10-30%) 300 m,10.0 and more,17.0
07.06.2020 17:20,22.0,756.7,756.9,73,Wind blowing from the south-southeast,7,,,,Few clouds (10-30%) 300 m,10.0 and more,17.0
07.06.2020 16:50,24.0,756.7,756.9,57,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,15.0
07.06.2020 16:20,23.0,756.7,756.9,65,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,16.0
07.06.2020 15:50,23.0,756.7,756.9,65,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,16.0
07.06.2020 15:20,24.0,756.7,756.9,61,Wind blowing from the south,5,,,,Few clouds (10-30%) 750 m,10.0 and more,16.0
07.06.2020 14:50,24.0,756.7,756.9,54,Wind blowing from the south,5,,,,Few clouds (10-30%) 750 m,10.0 and more,14.0
07.06.2020 14:20,25.0,757.5,757.7,54,Wind blowing from the south,5,,,,Few clouds (10-30%) 750 m,10.0 and more,15.0
07.06.2020 13:50,24.0,757.5,757.7,57,Wind blowing from the south-southeast,6,,,,No Significant Clouds,10.0 and more,15.0
07.06.2020 13:20,25.0,757.5,757.7,54,Wind blowing from the south-southeast,7,13,,,No Significant Clouds,10.0 and more,15.0
07.06.2020 12:50,24.0,757.5,757.7,50,Wind blowing from the south-southeast,7,,,,Few clouds (10-30%) 600 m,10.0 and more,13.0
07.06.2020 12:20,25.0,757.5,757.7,51,Wind blowing from the south-southeast,6,11,,,No Significant Clouds,10.0 and more,14.0
07.06.2020 11:50,25.0,758.0,758.2,54,Wind blowing from the south-southeast,6,12,,,Few clouds (10-30%) 450 m,10.0 and more,15.0
07.06.2020 11:20,24.0,757.5,757.7,54,Wind blowing from the south,6,,,,Few clouds (10-30%) 900 m,10.0 and more,14.0
07.06.2020 10:50,24.0,757.5,757.7,57,Wind blowing from the south,5,,,,Few clouds (10-30%) 900 m,10.0 and more,15.0
07.06.2020 10:20,23.0,757.5,757.7,65,Wind blowing from the south,5,,,,Few clouds (10-30%) 450 m,10.0 and more,16.0
07.06.2020 09:50,23.0,757.5,757.7,65,Wind blowing from the south-southeast,6,,,,Few clouds (10-30%) 450 m,10.0 and more,16.0
07.06.2020 09:20,23.0,757.5,757.7,65,Wind blowing from the south-southeast,5,,,,Scattered clouds (40-50%) 450 m,10.0 and more,16.0
07.06.2020 08:50,22.0,757.5,757.7,69,Wind blowing from the south,5,,,,Scattered clouds (40-50%) 450 m,10.0 and more,16.0
07.06.2020 08:20,22.0,757.5,757.7,69,Wind blowing from the south-southeast,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
07.06.2020 07:50,22.0,757.5,757.7,73,Wind blowing from the south-east,6,,,,Few clouds (10-30%) 600 m,10.0 and more,17.0
07.06.2020 07:20,20.0,756.7,756.9,83,Wind blowing from the south-east,6,,,,Few clouds (10-30%) 540 m,10.0 and more,17.0
07.06.2020 06:50,20.0,756.7,756.9,83,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,17.0
07.06.2020 06:20,19.0,756.7,756.9,88,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,17.0
07.06.2020 05:50,18.0,756.7,756.9,94,Wind blowing from the east-southeast,4,,,,Scattered clouds (40-50%) 750 m,10.0 and more,17.0
07.06.2020 05:20,17.0,756.7,756.9,94,Wind blowing from the east-southeast,4,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
07.06.2020 04:50,17.0,756.7,756.9,94,Wind blowing from the east,3,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16.0
07.06.2020 04:20,16.0,756.7,756.9,100,Wind blowing from the east,3,,,,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1200 m",10.0 and more,16.0
07.06.2020 03:50,16.0,756.7,756.9,100,Wind blowing from the east-northeast,2,,,,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1200 m",10.0 and more,16.0
07.06.2020 03:20,17.0,756.7,756.9,94,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1200 m",10.0 and more,16.0
07.06.2020 02:50,17.0,756.7,756.9,94,Wind blowing from the east,3,,,,Few clouds (10-30%) 1200 m,10.0 and more,16.0
07.06.2020 02:20,17.0,756.7,756.9,94,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,16.0
07.06.2020 01:50,17.0,756.7,756.9,94,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,16.0
07.06.2020 01:20,18.0,756.7,756.9,94,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,17.0
07.06.2020 00:50,17.0,756.7,756.9,94,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,16.0
07.06.2020 00:20,17.0,756.7,756.9,94,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,16.0
06.06.2020 23:50,17.0,756.7,756.9,94,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,16.0
06.06.2020 23:20,18.0,756.7,756.9,94,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,17.0
06.06.2020 22:50,18.0,756.7,756.9,94,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,17.0
06.06.2020 22:20,19.0,756.7,756.9,88,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,17.0
06.06.2020 21:50,19.0,756.7,756.9,94,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,18.0
06.06.2020 21:20,20.0,756.7,756.9,88,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,18.0
06.06.2020 20:50,20.0,756.7,756.9,88,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,18.0
06.06.2020 20:20,19.0,756.7,756.9,88,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,17.0
06.06.2020 19:50,20.0,756.7,756.9,83,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,17.0
06.06.2020 19:20,21.0,756.7,756.9,78,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,17.0
06.06.2020 18:50,21.0,756.0,756.2,83,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,18.0
06.06.2020 18:20,22.0,756.0,756.2,78,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,18.0
06.06.2020 17:50,22.0,756.0,756.2,78,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,18.0
06.06.2020 17:20,23.0,756.0,756.2,65,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,16.0
06.06.2020 16:50,23.0,756.0,756.2,61,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,15.0
06.06.2020 16:20,24.0,756.0,756.2,50,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,13.0
