# Weather station Hereford, UK, WMO_ID=3522,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3522&lang=en
#
"Local time in Hereford";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.06.2020 11:00";"14.0";"750.9";"757.7";"-0.5";"93";"Wind blowing from the north-east";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"600-1000";"";"";"11.0";"12.8";"";"";"";"";"";"";
"18.06.2020 10:00";"14.1";"751.1";"757.9";"-0.2";"93";"Wind blowing from the north-east";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"18.0";"12.9";"";"";"";"";"";"";
"18.06.2020 09:00";"14.0";"751.3";"758.2";"0.0";"96";"Wind blowing from the north-northeast";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"10.0";"13.3";"";"";"";"";"";"";
"18.06.2020 08:00";"13.7";"751.4";"758.2";"-0.2";"96";"Wind blowing from the north-east";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"7.0";"13.1";"";"";"";"";"";"";
"18.06.2020 07:00";"14.4";"751.3";"758.1";"-0.5";"96";"Wind blowing from the north";"2";"";"";"";"Rain, not freezing, heavy. ";"";"";"";"";"";"";"200-300";"";"";"0.7";"13.7";"";"";"";"";"";"";
"18.06.2020 06:00";"14.4";"751.3";"758.1";"-0.6";"96";"Wind blowing from the west";"1";"";"";"";"Rain, not freezing, moderate. ";"";"";"14.0";"";"";"";"300-600";"";"";"3.4";"13.7";"1.0";"12";"";"";"";"";
"18.06.2020 05:00";"14.6";"751.6";"758.5";"-0.7";"94";"Wind blowing from the north-northeast";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"5.0";"13.7";"";"";"";"";"";"";
"18.06.2020 04:00";"14.6";"751.8";"758.6";"-0.7";"94";"Wind blowing from the north-northeast";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"6.0";"13.7";"";"";"";"";"";"";
"18.06.2020 03:00";"14.2";"751.9";"758.7";"-0.9";"95";"Wind blowing from the west";"1";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"5.0";"13.4";"";"";"";"";"";"";
"18.06.2020 02:00";"15.0";"752.3";"759.1";"-0.5";"91";"Wind blowing from the north-east";"1";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"9.0";"13.5";"";"";"";"";"";"";
"18.06.2020 01:00";"14.4";"752.5";"759.4";"-0.4";"93";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"12.0";"13.3";"";"";"";"";"";"";
"18.06.2020 00:00";"13.3";"749.8";"756.7";"-3.3";"98";"Wind blowing from the east-northeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"3.3";"13.0";"0.2";"6";"";"";"";"";
"17.06.2020 23:00";"14.2";"752.8";"759.7";"-0.1";"91";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"15.0";"12.8";"";"";"";"";"";"";
"17.06.2020 22:00";"15.0";"752.9";"759.7";"0.1";"89";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"13.2";"";"";"";"";"";"";
"17.06.2020 21:00";"16.0";"753.1";"759.8";"0.4";"87";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"17.0";"13.8";"";"";"";"";"";"";
"17.06.2020 20:00";"16.7";"752.9";"759.7";"0.3";"84";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"28.0";"14.0";"";"";"";"";"";"";
"17.06.2020 19:00";"17.5";"752.8";"759.5";"0.3";"79";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"13.7";"";"";"";"";"";"";
"17.06.2020 18:00";"18.1";"752.7";"759.4";"-0.3";"71";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"21.2";"";"";"2500 or more, or no clouds.";"";"";"40.0";"12.8";"Trace of precipitation";"12";"";"";"";"";
"17.06.2020 17:00";"18.2";"752.6";"759.4";"-0.2";"66";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"11.6";"";"";"";"";"";"";
"17.06.2020 16:00";"18.0";"752.5";"759.3";"-0.6";"83";"Wind blowing from the east-northeast";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"13.0";"15.1";"";"";"";"";"";"";
"17.06.2020 15:00";"18.7";"753.0";"759.7";"-0.4";"74";"Wind blowing from the east-northeast";"3";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"28.0";"13.9";"";"";"";"";"";"";
"17.06.2020 14:00";"20.7";"752.8";"759.5";"-0.8";"63";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"23.0";"13.4";"";"";"";"";"";"";
"17.06.2020 13:00";"19.9";"753.1";"759.7";"-0.4";"66";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"13.4";"";"";"";"";"";"";
"17.06.2020 12:00";"18.3";"753.4";"760.2";"-0.2";"76";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"15.0";"13.9";"No precipitation";"6";"";"";"";"";
"17.06.2020 11:00";"17.3";"753.6";"760.3";"-0.1";"77";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"28.0";"13.1";"";"";"";"";"";"";
"17.06.2020 10:00";"16.4";"753.5";"760.3";"-0.2";"84";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"13.7";"";"";"";"";"";"";
"17.06.2020 09:00";"16.1";"753.6";"760.3";"0.1";"87";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"14.0";"14.0";"";"";"";"";"";"";
"17.06.2020 08:00";"14.6";"753.7";"760.6";"0.6";"99";"Wind blowing from the north-northeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"10.0";"14.5";"";"";"";"";"";"";
"17.06.2020 07:00";"12.9";"753.7";"760.5";"0.8";"100";"Wind blowing from the north-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"50-100";"";"";"4.0";"12.9";"";"";"";"";"";"";
"17.06.2020 06:00";"12.1";"753.5";"760.3";"0.4";"100";"Wind blowing from the west-southwest";"1";"";"";"";"Fog ";"";"";"10.3";"";"";"";"Less than  50";"";"";"3.6";"12.1";"4.0";"12";"";"";"";"";
"17.06.2020 05:00";"11.1";"753.1";"760.0";"-0.2";"99";"Wind blowing from the east";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"Less than  50";"";"";"1.5";"11.0";"";"";"";"";"";"";
"17.06.2020 04:00";"10.9";"752.9";"759.8";"-0.7";"99";"Wind blowing from the east";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"10.8";"";"";"";"";"";"";
"17.06.2020 03:00";"10.4";"753.1";"760.0";"-0.6";"99";"Calm, no wind";"0";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.4";"10.3";"";"";"";"";"";"";
"17.06.2020 02:00";"10.7";"753.3";"760.2";"-0.4";"99";"Wind blowing from the west";"1";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.4";"10.6";"";"";"";"";"";"";
"17.06.2020 01:00";"11.4";"753.6";"760.5";"0.1";"99";"Wind blowing from the south-west";"1";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.2";"11.2";"";"";"";"";"";"";
"17.06.2020 00:00";"14.5";"752.8";"759.7";"";"91";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"25.0";"13.1";"No precipitation";"6";"";"";"";"";
"16.06.2020 23:00";"12.6";"753.7";"760.5";"0.6";"98";"Calm, no wind";"0";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.7";"12.3";"";"";"";"";"";"";
"16.06.2020 22:00";"12.6";"753.5";"760.3";"0.1";"97";"Wind blowing from the west-southwest";"1";"";"";"";"Fog ";"";"";"";"";"";"";"Less than  50";"";"";"1.9";"12.1";"";"";"";"";"";"";
"16.06.2020 21:00";"13.8";"753.4";"760.3";"0.0";"97";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"6.0";"13.3";"";"";"";"";"";"";
"16.06.2020 20:00";"14.8";"753.1";"759.9";"0.0";"91";"Wind blowing from the south-east";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"8.0";"13.4";"";"";"";"";"";"";
"16.06.2020 19:00";"15.6";"753.4";"760.1";"0.3";"93";"Wind blowing from the north-northwest";"1";"";"";"";"Rain, not freezing, heavy. ";"";"";"";"";"";"";"1000-1500";"";"";"4.9";"14.4";"";"";"";"";"";"";
"16.06.2020 18:00";"16.2";"753.4";"760.3";"-0.2";"86";"Wind blowing from the south-east";"2";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"21.3";"";"";"1500-2000";"";"";"21.0";"13.9";"2.0";"12";"";"";"";"";
"16.06.2020 17:00";"18.0";"753.1";"759.8";"-0.4";"72";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"12.8";"";"";"";"";"";"";
"16.06.2020 16:00";"18.6";"753.1";"759.8";"-0.5";"71";"Wind blowing from the north-west";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"30.0";"13.3";"";"";"";"";"";"";
"16.06.2020 15:00";"17.2";"753.6";"760.3";"-0.1";"76";"Wind blowing from the north-west";"3";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"1000-1500";"";"";"28.0";"13.0";"";"";"";"";"";"";
"16.06.2020 14:00";"19.6";"753.5";"760.2";"-0.5";"74";"Wind blowing from the west-northwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"14.8";"";"";"";"";"";"";
"16.06.2020 13:00";"19.7";"753.6";"760.3";"-0.7";"70";"Wind blowing from the south-east";"1";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"1000-1500";"";"";"7.0";"14.1";"";"";"";"";"";"";
"16.06.2020 12:00";"19.9";"753.7";"760.4";"-0.7";"61";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"12.0";"Trace of precipitation";"6";"";"";"";"";
"16.06.2020 11:00";"19.7";"754.0";"760.8";"-0.6";"70";"Wind blowing from the north-east";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"22.0";"14.1";"";"";"";"";"";"";
"16.06.2020 10:00";"18.5";"754.3";"761.0";"-0.3";"72";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"19.0";"13.4";"";"";"";"";"";"";
"16.06.2020 09:00";"18.0";"754.4";"761.2";"0.1";"80";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"14.4";"";"";"";"";"";"";
"16.06.2020 08:00";"16.2";"754.6";"761.5";"0.4";"90";"Wind blowing from the east-northeast";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"14.6";"";"";"";"";"";"";
"16.06.2020 07:00";"15.7";"754.6";"761.4";"0.3";"93";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"13.0";"14.5";"";"";"";"";"";"";
"16.06.2020 06:00";"14.8";"754.3";"761.2";"0.0";"99";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"14.0";"";"";"";"1000-1500";"";"";"6.0";"14.7";"3.0";"12";"";"";"";"";
"16.06.2020 05:00";"14.2";"754.2";"761.0";"-0.3";"98";"Wind blowing from the west-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"3.6";"13.9";"";"";"";"";"";"";
"16.06.2020 04:00";"14.1";"754.3";"761.2";"-0.6";"98";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"3.1";"13.8";"";"";"";"";"";"";
"16.06.2020 03:00";"14.2";"754.3";"761.2";"-0.9";"97";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"3.8";"13.8";"";"";"";"";"";"";
"16.06.2020 02:00";"14.3";"754.5";"761.4";"-0.7";"96";"Wind blowing from the west";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2000-2500";"";"";"8.0";"13.7";"";"";"";"";"";"";
"16.06.2020 01:00";"14.7";"754.9";"761.7";"0.0";"94";"Wind blowing from the north";"1";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"13.8";"";"";"";"";"";"";
"16.06.2020 00:00";"14.7";"755.2";"762.0";"0.3";"91";"Wind blowing from the north-west";"1";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"1000-1500";"";"";"5.0";"13.3";"1.0";"6";"";"";"";"";
"15.06.2020 23:00";"16.3";"755.2";"762.0";"0.5";"80";"Wind blowing from the east-southeast";"2";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"1500-2000";"";"";"18.0";"12.8";"";"";"";"";"";"";
"15.06.2020 22:00";"16.7";"754.9";"761.7";"0.3";"74";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"12.0";"";"";"";"";"";"";
"15.06.2020 21:00";"17.4";"754.9";"761.7";"0.3";"62";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"50.0";"10.1";"";"";"";"";"";"";
"15.06.2020 20:00";"20.6";"754.7";"761.4";"0.1";"54";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"10.9";"";"";"";"";"";"";
"15.06.2020 19:00";"21.7";"754.6";"761.2";"-0.3";"44";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"8.9";"";"";"";"";"";"";
"15.06.2020 18:00";"22.1";"754.6";"761.2";"-0.4";"39";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"23.6";"";"";"2500 or more, or no clouds.";"";"";"35.0";"7.6";"No precipitation";"12";"";"";"";"";
"15.06.2020 17:00";"22.9";"754.6";"761.2";"-0.5";"44";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"9.8";"";"";"";"";"";"";
"15.06.2020 16:00";"22.8";"754.9";"761.5";"-0.3";"44";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"29.0";"9.9";"";"";"";"";"";"";
"15.06.2020 15:00";"23.1";"755.0";"761.6";"-0.5";"42";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"9.4";"";"";"";"";"";"";
"15.06.2020 14:00";"22.1";"755.1";"761.8";"-0.4";"50";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"11.1";"";"";"";"";"";"";
"15.06.2020 13:00";"22.8";"755.2";"761.8";"-0.4";"51";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"50.0";"12.0";"";"";"";"";"";"";
"15.06.2020 12:00";"22.3";"755.5";"762.1";"0.0";"52";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"12.0";"No precipitation";"6";"";"";"";"";
"15.06.2020 11:00";"21.0";"755.5";"762.2";"0.0";"57";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"12.0";"";"";"";"";"";"";
"15.06.2020 10:00";"19.7";"755.6";"762.3";"0.1";"57";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"11.0";"";"";"";"";"";"";
"15.06.2020 09:00";"18.8";"755.5";"762.3";"0.0";"66";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"21.0";"12.3";"";"";"";"";"";"";
"15.06.2020 08:00";"16.7";"755.5";"762.4";"0.1";"76";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"12.4";"";"";"";"";"";"";
"15.06.2020 07:00";"14.9";"755.5";"762.3";"0.4";"86";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"12.5";"";"";"";"";"";"";
"15.06.2020 06:00";"12.4";"755.5";"762.4";"0.5";"96";"Wind blowing from the west";"1";"";"";"";" ";"";"";"10.1";"";"";"";"1000-1500";"";"";"16.0";"11.8";"No precipitation";"12";"";"";"";"";
"15.06.2020 05:00";"11.5";"755.4";"762.3";"0.5";"98";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"12.0";"11.2";"";"";"";"";"";"";
"15.06.2020 04:00";"11.1";"755.1";"762.0";"0.1";"98";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"10.8";"";"";"";"";"";"";
"15.06.2020 03:00";"10.7";"755.0";"761.9";"-0.2";"97";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"10.3";"";"";"";"";"";"";
"15.06.2020 02:00";"10.7";"754.9";"761.9";"-0.1";"95";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"9.9";"";"";"";"";"";"";
"15.06.2020 01:00";"12.3";"755.0";"761.9";"0.2";"91";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"24.0";"10.8";"";"";"";"";"";"";
"15.06.2020 00:00";"13.2";"755.2";"762.1";"0.6";"91";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"11.7";"No precipitation";"6";"";"";"";"";
"14.06.2020 23:00";"13.0";"755.0";"761.8";"0.8";"87";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"2000-2500";"";"";"30.0";"10.8";"";"";"";"";"";"";
"14.06.2020 22:00";"13.9";"754.8";"761.7";"0.8";"85";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"25.0";"11.4";"";"";"";"";"";"";
"14.06.2020 21:00";"15.2";"754.6";"761.5";"0.9";"79";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"11.5";"";"";"";"";"";"";
"14.06.2020 20:00";"18.5";"754.2";"760.9";"0.6";"65";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"11.7";"";"";"";"";"";"";
"14.06.2020 19:00";"21.2";"754.0";"760.6";"0.6";"57";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"12.2";"";"";"";"";"";"";
"14.06.2020 18:00";"20.5";"753.7";"760.3";"0.4";"53";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"21.2";"";"";"2500 or more, or no clouds.";"";"";"45.0";"10.5";"2.0";"12";"";"";"";"";
"14.06.2020 17:00";"20.5";"753.6";"760.3";"0.2";"56";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"11.5";"";"";"";"";"";"";
"14.06.2020 16:00";"20.2";"753.4";"760.2";"-0.4";"63";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"50.0";"13.0";"";"";"";"";"";"";
"14.06.2020 15:00";"20.8";"753.3";"760.0";"-0.4";"64";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"13.6";"";"";"";"";"";"";
"14.06.2020 14:00";"19.3";"753.4";"760.2";"-0.3";"74";"Wind blowing from the east-northeast";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"22.0";"14.5";"";"";"";"";"";"";
"14.06.2020 13:00";"18.3";"753.8";"760.6";"0.3";"83";"Wind blowing from the south-southeast";"1";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"600-1000";"";"";"12.0";"15.3";"";"";"";"";"";"";
"14.06.2020 12:00";"19.0";"753.7";"760.3";"0.3";"77";"Wind blowing from the north-east";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"45.0";"14.8";"0.8";"6";"";"";"";"";
"14.06.2020 11:00";"16.7";"753.7";"760.5";"0.3";"83";"Wind blowing from the north-northeast";"2";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"24.0";"13.7";"";"";"";"";"";"";
"14.06.2020 10:00";"18.0";"753.5";"760.3";"0.4";"69";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"40.0";"12.3";"";"";"";"";"";"";
"14.06.2020 09:00";"17.1";"753.4";"760.1";"0.5";"68";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"8.0";"11.1";"";"";"";"";"";"";
"14.06.2020 08:00";"16.0";"753.4";"760.1";"0.6";"79";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"12.3";"";"";"";"";"";"";
"14.06.2020 07:00";"14.9";"753.1";"760.0";"0.6";"84";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"12.2";"";"";"";"";"";"";
"14.06.2020 06:00";"12.5";"752.9";"759.8";"0.5";"99";"Wind blowing from the west";"1";"";"";"";" ";"";"";"9.2";"";"";"";"1000-1500";"";"";"22.0";"12.3";"Trace of precipitation";"12";"";"";"";"";
"14.06.2020 05:00";"10.3";"752.8";"759.7";"0.6";"98";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"20.0";"10.0";"";"";"";"";"";"";
"14.06.2020 04:00";"9.5";"752.5";"759.4";"0.3";"96";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"8.9";"";"";"";"";"";"";
"14.06.2020 03:00";"10.7";"752.4";"759.3";"0.3";"95";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"24.0";"9.9";"";"";"";"";"";"";
"14.06.2020 02:00";"11.9";"752.2";"759.1";"0.2";"89";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"10.1";"";"";"";"";"";"";
"14.06.2020 01:00";"14.1";"752.2";"759.0";"0.4";"84";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"11.5";"";"";"";"";"";"";
"14.06.2020 00:00";"13.2";"755.2";"762.1";"3.6";"91";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"11.7";"No precipitation";"6";"";"";"";"";
"13.06.2020 23:00";"15.2";"752.0";"758.8";"0.9";"81";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"11.9";"";"";"";"";"";"";
"13.06.2020 22:00";"14.9";"751.8";"758.6";"1.1";"83";"Wind blowing from the north-east";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"12.0";"";"";"";"";"";"";
"13.06.2020 21:00";"14.8";"751.6";"758.4";"1.3";"81";"Calm, no wind";"0";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"50.0";"11.6";"";"";"";"";"";"";
"13.06.2020 20:00";"16.3";"751.1";"757.9";"1.3";"71";"Wind blowing from the west-southwest";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"11.0";"";"";"";"";"";"";
"13.06.2020 19:00";"18.0";"750.7";"757.5";"1.0";"60";"Wind blowing from the south-southeast";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"50.0";"10.1";"";"";"";"";"";"";
"13.06.2020 18:00";"20.1";"750.3";"757.0";"0.8";"49";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"22.5";"";"";"2000-2500";"";"";"40.0";"9.0";"No precipitation";"12";"";"";"";"";
"13.06.2020 17:00";"20.5";"749.8";"756.4";"0.2";"48";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"2000-2500";"";"";"45.0";"9.2";"";"";"";"";"";"";
"13.06.2020 16:00";"20.4";"749.7";"756.4";"0.0";"48";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"30.0";"9.1";"";"";"";"";"";"";
"13.06.2020 15:00";"20.5";"749.5";"756.2";"0.0";"47";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"35.0";"8.8";"";"";"";"";"";"";
"13.06.2020 14:00";"20.5";"749.6";"756.3";"0.1";"49";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"9.4";"";"";"";"";"";"";
"13.06.2020 13:00";"19.9";"749.7";"756.4";"0.5";"54";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"10.4";"";"";"";"";"";"";
"13.06.2020 12:00";"20.4";"749.5";"756.2";"0.4";"62";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"12.9";"No precipitation";"6";"";"";"";"";
